Number of photo;Title;Dimensions;Year;Edition
01;Étang marécageux;50x66;5cm;2011;6;
02;Teacher and student; Porkkala;70x89cm;2011;6;
03;Le Petit Prince;50x35cm;2011;6;
04;Place Dauphine;90x103cm;2011;6;
05;Quai de Seine;70x94;5cm;2011;6;
06;Quai de Seine (L'Olympe moderne);70x94;5cm;2011;6;
07;Au parc de Buttes-Chaumont;90x67cm;2011;6;
08;Le parc au crépuscule;50x66;5cm;2011;6;
09;Le jardin clos;70x93cm;2011;6;
10;Garden of Avallon;90x60cm;2011;6;
11;Two nudes;25x18;5cm;2011;6;
12;Superman;50x62;5;2012;6;
13;Orange figures in the winter;90x108cm;2012;6;
